"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1678","fullscreen","0","null","2685","pz0xaadcw6s","panda","","","","","","","","","",""
"","1551","html-keyboard-response","1","2.0.0","4238","pz0xaadcw6s","panda","This trial will be in fullscreen mode. Press any key to begin.","Enter","","","","","","","",""
"","752","html-keyboard-response","2","2.0.0","5492","pz0xaadcw6s","panda","Welcome to the experiment. Press any key to begin.","Enter","","","","","","","",""
"","22597","survey-text","3","2.0.0","28608","pz0xaadcw6s","panda","","{""participant_id"":""panda""}","","","","","","","",""
"","9711","html-keyboard-response","4","2.0.0","38823","pz0xaadcw6s","panda","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>","Enter","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","40527","pz0xaadcw6s","panda","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Evolution</font></b>","null","","","","","","","",""
"","5386","html-keyboard-response","6","2.0.0","46417","pz0xaadcw6s","panda","<b><font size=6>Most organisms live in temperate climates.</font></b>","m","Evolution","Selection","F","F","F","true","",""
"","21751","html-keyboard-response","7","2.0.0","68672","pz0xaadcw6s","panda","<b><font size=6>Humans are descended from plants.</font></b>","m","Evolution","Phylogeny","F","F","F","true","",""
"","13104","html-keyboard-response","8","2.0.0","82280","pz0xaadcw6s","panda","<b><font size=6>Whales are more closely related to humans than fish.</font></b>","m","Evolution","Common ancestry","F","T","T","false","",""
"","6244","html-keyboard-response","9","2.0.0","89026","pz0xaadcw6s","panda","<b><font size=6>Most organisms die before leaving offspring.</font></b>","z","Evolution","Selection","F","T","T","true","",""
"","3903","html-keyboard-response","10","2.0.0","93433","pz0xaadcw6s","panda","<b><font size=6>Humans are more closely related to apes than monkeys.</font></b>","z","Evolution","Common ancestry","T","T","T","true","",""
"","3701","html-keyboard-response","11","2.0.0","97638","pz0xaadcw6s","panda","<b><font size=6>Humans are descended from chimpanzees.</font></b>","z","Evolution","Phylogeny","T","F","F","false","",""
"","4704","html-keyboard-response","12","2.0.0","102846","pz0xaadcw6s","panda","<b><font size=6>Humans are descended from tree-dwelling creatures.</font></b>","z","Evolution","Phylogeny","T","T","T","true","",""
"","8041","html-keyboard-response","13","2.0.0","111392","pz0xaadcw6s","panda","<b><font size=6>Inanimate objects evolve.</font></b>","z","Evolution","Adaptation","F","F","F","false","",""
"","7234","html-keyboard-response","14","2.0.0","119130","pz0xaadcw6s","panda","<b><font size=6>Most organisms have plenty to eat.</font></b>","m","Evolution","Selection","T","F","F","true","",""
"","3912","html-keyboard-response","15","2.0.0","123546","pz0xaadcw6s","panda","<b><font size=6>Evolution requires climate stability.</font></b>","m","Evolution","Variation","F","F","F","true","",""
"","3867","html-keyboard-response","16","2.0.0","127917","pz0xaadcw6s","panda","<b><font size=6>Apes are more closely related to monkeys than humans.</font></b>","m","Evolution","Common ancestry","T","F","F","true","",""
"","5029","html-keyboard-response","17","2.0.0","133452","pz0xaadcw6s","panda","<b><font size=6>Evolution requires long periods of time.</font></b>","z","Evolution","Variation","T","F","F","false","",""
"","3631","html-keyboard-response","18","2.0.0","137586","pz0xaadcw6s","panda","<b><font size=6>Evolution requires within-species variation.</font></b>","z","Evolution","Variation","F","T","T","true","",""
"","2546","html-keyboard-response","19","2.0.0","140637","pz0xaadcw6s","panda","<b><font size=6>Evolution requires differential survival.</font></b>","z","Evolution","Variation","T","T","T","true","",""
"","4190","html-keyboard-response","20","2.0.0","145331","pz0xaadcw6s","panda","<b><font size=6>Most organisms are adapted to their environment.</font></b>","z","Evolution","Selection","T","T","T","true","",""
"","3907","html-keyboard-response","21","2.0.0","149741","pz0xaadcw6s","panda","<b><font size=6>Individual organisms evolve.</font></b>","m","Evolution","Adaptation","T","F","F","true","",""
"","3671","html-keyboard-response","22","2.0.0","153915","pz0xaadcw6s","panda","<b><font size=6>Humans are descended from sea-dwelling creatures.</font></b>","z","Evolution","Phylogeny","F","T","T","true","",""
"","1766","html-keyboard-response","23","2.0.0","156187","pz0xaadcw6s","panda","<b><font size=6>Biological species evolve.</font></b>","z","Evolution","Adaptation","T","T","T","true","",""
"","4811","html-keyboard-response","24","2.0.0","161501","pz0xaadcw6s","panda","<b><font size=6>Whales are more closely related to plants than fish.</font></b>","m","Evolution","Common ancestry","F","F","F","true","",""
"","5663","html-keyboard-response","25","2.0.0","167667","pz0xaadcw6s","panda","<b><font size=6>Computer viruses evolve.</font></b>","z","Evolution","Adaptation","F","T","T","true","",""
"","null","html-keyboard-response","26","2.0.0","169871","pz0xaadcw6s","panda","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","6664","html-keyboard-response","27","2.0.0","177039","pz0xaadcw6s","panda","<b><font size=6>Black objects reflect all colors of light.</font></b>","m","Waves","Light","T","F","F","true","",""
"","4299","html-keyboard-response","28","2.0.0","181840","pz0xaadcw6s","panda","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","2628","html-keyboard-response","29","2.0.0","184972","pz0xaadcw6s","panda","<b><font size=6>Red objects reflect blue light.</font></b>","z","Waves","Color","F","F","F","false","",""
"","3617","html-keyboard-response","30","2.0.0","189092","pz0xaadcw6s","panda","<b><font size=6>Foam reflects sound.</font></b>","z","Waves","Reflection","F","F","F","false","",""
"","2349","html-keyboard-response","31","2.0.0","191944","pz0xaadcw6s","panda","<b><font size=6>Mirrors reflect sound.</font></b>","z","Waves","Reflection","F","T","T","true","",""
"","7638","html-keyboard-response","32","2.0.0","200085","pz0xaadcw6s","panda","<b><font size=6>Sound travels through metal.</font></b>","z","Waves","Propagation","F","T","T","true","",""
"","2069","html-keyboard-response","33","2.0.0","202658","pz0xaadcw6s","panda","<b><font size=6>White light contains all colors of light.</font></b>","z","Waves","Light","F","T","T","true","",""
"","2019","html-keyboard-response","34","2.0.0","205180","pz0xaadcw6s","panda","<b><font size=6>Sound travels through foam.</font></b>","m","Waves","Propagation","F","F","F","true","",""
"","3272","html-keyboard-response","35","2.0.0","208957","pz0xaadcw6s","panda","<b><font size=6>Prisms reflect light.</font></b>","z","Waves","Reflection","T","F","F","false","",""
"","2707","html-keyboard-response","36","2.0.0","212166","pz0xaadcw6s","panda","<b><font size=6>Red objects absorb red light.</font></b>","m","Waves","Color","T","F","F","true","",""
"","4454","html-keyboard-response","37","2.0.0","217123","pz0xaadcw6s","panda","<b><font size=6>Sound travels through a vacuum.</font></b>","z","Waves","Propagation","T","F","F","false","",""
"","4375","html-keyboard-response","38","2.0.0","222002","pz0xaadcw6s","panda","<b><font size=6>Shadows contain all colors of light.</font></b>","m","Waves","Light","F","F","F","true","",""
"","10354","html-keyboard-response","39","2.0.0","232860","pz0xaadcw6s","panda","<b><font size=6>Mirrors reflect light.</font></b>","z","Waves","Reflection","T","T","T","true","",""
"","2104","html-keyboard-response","40","2.0.0","235469","pz0xaadcw6s","panda","<b><font size=6>Red objects absorb blue light.</font></b>","z","Waves","Color","F","T","T","true","",""
"","4748","html-keyboard-response","41","2.0.0","240721","pz0xaadcw6s","panda","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","2174","html-keyboard-response","42","2.0.0","243398","pz0xaadcw6s","panda","<b><font size=6>Sounds can be dead or alive.</font></b>","m","Waves","Sound","F","F","F","true","",""
"","1406","html-keyboard-response","43","2.0.0","245308","pz0xaadcw6s","panda","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
