"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1416","fullscreen","0","null","2418","p5znj4obf4y","2341","","","","","","","","","",""
"","940","html-keyboard-response","1","2.0.0","3360","p5znj4obf4y","2341","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","1200","html-keyboard-response","2","2.0.0","5062","p5znj4obf4y","2341","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","3640","survey-text","3","2.0.0","9205","p5znj4obf4y","2341","","{""participant_id"":""2341""}","","","","","","","",""
"","7898","html-keyboard-response","4","2.0.0","17604","p5znj4obf4y","2341","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","19307","p5znj4obf4y","2341","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","5044","html-keyboard-response","6","2.0.0","24852","p5znj4obf4y","2341","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","m","Genetics","Heritability","T","F","F","true","",""
"","2429","html-keyboard-response","7","2.0.0","27782","p5znj4obf4y","2341","<b><font size=6>Radiation can change one's genome.</font></b>","z","Genetics","Mutation","T","T","T","true","",""
"","2085","html-keyboard-response","8","2.0.0","30369","p5znj4obf4y","2341","<b><font size=6>Viruses can change one's genome.</font></b>","z","Genetics","Mutation","F","T","T","true","",""
"","2167","html-keyboard-response","9","2.0.0","33037","p5znj4obf4y","2341","<b><font size=6>Pierced ears are heritable.</font></b>","m","Genetics","Heritability","F","F","F","true","",""
"","2422","html-keyboard-response","10","2.0.0","35961","p5znj4obf4y","2341","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","5527","html-keyboard-response","11","2.0.0","41990","p5znj4obf4y","2341","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","z","Genetics","Expression","T","T","T","true","",""
"","3758","html-keyboard-response","12","2.0.0","46250","p5znj4obf4y","2341","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","z","Genetics","Chromosome","F","T","T","true","",""
"","4349","html-keyboard-response","13","2.0.0","51101","p5znj4obf4y","2341","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","3146","html-keyboard-response","14","2.0.0","54749","p5znj4obf4y","2341","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","m","Genetics","Dominance","T","F","F","true","",""
"","2795","html-keyboard-response","15","2.0.0","58045","p5znj4obf4y","2341","<b><font size=6>Humans have more chromosomes than mosquitoes.</font></b>","m","Genetics","Chromosome","T","T","T","false","",""
"","3024","html-keyboard-response","16","2.0.0","61571","p5znj4obf4y","2341","<b><font size=6>Adults have more chromosomes than children.</font></b>","m","Genetics","Chromosome","T","F","F","true","",""
"","5890","html-keyboard-response","17","2.0.0","67964","p5znj4obf4y","2341","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","2846","html-keyboard-response","18","2.0.0","71311","p5znj4obf4y","2341","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","z","Genetics","Expression","F","T","T","true","",""
"","1957","html-keyboard-response","19","2.0.0","73769","p5znj4obf4y","2341","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","F","F","F","false","",""
"","3940","html-keyboard-response","20","2.0.0","78210","p5znj4obf4y","2341","<b><font size=6>Two brown-eyed parents could have a blue-eyed baby.</font></b>","z","Genetics","Dominance","F","T","T","true","",""
"","5052","html-keyboard-response","21","2.0.0","83762","p5znj4obf4y","2341","<b><font size=6>Exercise can change one's genome.</font></b>","z","Genetics","Mutation","T","F","F","false","",""
"","3541","html-keyboard-response","22","2.0.0","87805","p5znj4obf4y","2341","<b><font size=6>Intelligence is heritable.</font></b>","z","Genetics","Heritability","F","T","T","true","",""
"","3114","html-keyboard-response","23","2.0.0","91420","p5znj4obf4y","2341","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","m","Genetics","Expression","T","F","F","true","",""
"","2661","html-keyboard-response","24","2.0.0","94582","p5znj4obf4y","2341","<b><font size=6>Sunscreen can change one's genome.</font></b>","m","Genetics","Mutation","F","F","F","true","",""
"","2900","html-keyboard-response","25","2.0.0","97984","p5znj4obf4y","2341","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","z","Genetics","Expression","F","F","F","false","",""
"","null","html-keyboard-response","26","2.0.0","100188","p5znj4obf4y","2341","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Matter</font></b>","null","","","","","","","",""
"","3466","html-keyboard-response","27","2.0.0","104157","p5znj4obf4y","2341","<b><font size=6>Foam is denser than brick.</font></b>","m","Matter","Density","F","F","F","true","",""
"","2375","html-keyboard-response","28","2.0.0","107032","p5znj4obf4y","2341","<b><font size=6>Atoms are visible to the naked eye.</font></b>","m","Matter","Atom","F","F","F","true","",""
"","3054","html-keyboard-response","29","2.0.0","110588","p5znj4obf4y","2341","<b><font size=6>A cold penny is denser than a hot penny.</font></b>","z","Matter","Density","F","T","T","true","",""
