"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1350","fullscreen","0","null","2360","pfq7dguu82a","dolphin","","","","","","","","","",""
"","786","html-keyboard-response","1","2.0.0","3150","pfq7dguu82a","dolphin","This trial will be in fullscreen mode. Press any key to begin.","v","","","","","","","",""
"","586","html-keyboard-response","2","2.0.0","4237","pfq7dguu82a","dolphin","Welcome to the experiment. Press any key to begin.","v","","","","","","","",""
"","2151","survey-text","3","2.0.0","6896","pfq7dguu82a","dolphin","","{""participant_id"":""dolphin""}","","","","","","","",""
"","2483","html-keyboard-response","4","2.0.0","9881","pfq7dguu82a","dolphin","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","11585","pfq7dguu82a","dolphin","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","2286","html-keyboard-response","6","2.0.0","14374","pfq7dguu82a","dolphin","<b><font size=6>Sounds can be loud or quiet.</font></b>","z","Waves","Sound","T","T","T","true","",""
"","1232","html-keyboard-response","7","2.0.0","16108","pfq7dguu82a","dolphin","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","1580","html-keyboard-response","8","2.0.0","18190","pfq7dguu82a","dolphin","<b><font size=6>Shadows contain all colors of light.</font></b>","m","Waves","Light","F","F","F","true","",""
"","2370","html-keyboard-response","9","2.0.0","21063","pfq7dguu82a","dolphin","<b><font size=6>Red objects absorb blue light.</font></b>","z","Waves","Color","F","T","T","true","",""
"","1113","html-keyboard-response","10","2.0.0","22678","pfq7dguu82a","dolphin","<b><font size=6>Red objects reflect blue light.</font></b>","z","Waves","Color","F","F","F","false","",""
"","808","html-keyboard-response","11","2.0.0","23988","pfq7dguu82a","dolphin","<b><font size=6>Sounds can be dead or alive.</font></b>","m","Waves","Sound","F","F","F","true","",""
"","1502","html-keyboard-response","12","2.0.0","25992","pfq7dguu82a","dolphin","<b><font size=6>Red objects reflect red light.</font></b>","z","Waves","Color","T","T","T","true","",""
"","1300","html-keyboard-response","13","2.0.0","27794","pfq7dguu82a","dolphin","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","848","html-keyboard-response","14","2.0.0","29145","pfq7dguu82a","dolphin","<b><font size=6>Sounds can be near or far.</font></b>","z","Waves","Sound","T","F","F","false","",""
"","1588","html-keyboard-response","15","2.0.0","31235","pfq7dguu82a","dolphin","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
"","1476","html-keyboard-response","16","2.0.0","33213","pfq7dguu82a","dolphin","<b><font size=6>Mirrors reflect light.</font></b>","z","Waves","Reflection","T","T","T","true","",""
"","1124","html-keyboard-response","17","2.0.0","34839","pfq7dguu82a","dolphin","<b><font size=6>Black objects reflect all colors of light.</font></b>","m","Waves","Light","T","F","F","true","",""
"","999","html-keyboard-response","18","2.0.0","36340","pfq7dguu82a","dolphin","<b><font size=6>Foam reflects sound.</font></b>","m","Waves","Reflection","F","F","F","true","",""
"","3930","html-keyboard-response","19","2.0.0","40772","pfq7dguu82a","dolphin","<b><font size=6>White light contains all colors of light.</font></b>","m","Waves","Light","F","T","T","false","",""
"","1466","html-keyboard-response","20","2.0.0","42739","pfq7dguu82a","dolphin","<b><font size=6>Sound travels through a vacuum.</font></b>","z","Waves","Propagation","T","F","F","false","",""
"","1000","html-keyboard-response","21","2.0.0","44241","pfq7dguu82a","dolphin","<b><font size=6>Mirrors reflect sound.</font></b>","m","Waves","Reflection","F","T","T","false","",""
"","979","html-keyboard-response","22","2.0.0","45722","pfq7dguu82a","dolphin","<b><font size=6>Sound travels through metal.</font></b>","m","Waves","Propagation","F","T","T","false","",""
"","2178","html-keyboard-response","23","2.0.0","48402","pfq7dguu82a","dolphin","<b><font size=6>Red objects absorb red light.</font></b>","z","Waves","Color","T","F","F","false","",""
"","1312","html-keyboard-response","24","2.0.0","50216","pfq7dguu82a","dolphin","<b><font size=6>Prisms reflect light.</font></b>","z","Waves","Reflection","T","F","F","false","",""
"","682","html-keyboard-response","25","2.0.0","51401","pfq7dguu82a","dolphin","<b><font size=6>Sound travels through foam.</font></b>","m","Waves","Propagation","F","F","F","true","",""
"","null","html-keyboard-response","26","2.0.0","53605","pfq7dguu82a","dolphin","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Evolution</font></b>","null","","","","","","","",""
"","1144","html-keyboard-response","27","2.0.0","55252","pfq7dguu82a","dolphin","<b><font size=6>Evolution requires differential survival.</font></b>","z","Evolution","Variation","T","T","T","true","",""
"","1192","html-keyboard-response","28","2.0.0","56946","pfq7dguu82a","dolphin","<b><font size=6>Most organisms are adapted to their environment.</font></b>","z","Evolution","Selection","T","T","T","true","",""
"","738","html-keyboard-response","29","2.0.0","58186","pfq7dguu82a","dolphin","<b><font size=6>Biological species evolve.</font></b>","z","Evolution","Adaptation","T","T","T","true","",""
"","1516","html-keyboard-response","30","2.0.0","60205","pfq7dguu82a","dolphin","<b><font size=6>Humans are descended from chimpanzees.</font></b>","z","Evolution","Phylogeny","T","F","F","false","",""
"","879","html-keyboard-response","31","2.0.0","61585","pfq7dguu82a","dolphin","<b><font size=6>Individual organisms evolve.</font></b>","z","Evolution","Adaptation","T","F","F","false","",""
"","2460","html-keyboard-response","32","2.0.0","64546","pfq7dguu82a","dolphin","<b><font size=6>Most organisms live in temperate climates.</font></b>","z","Evolution","Selection","F","F","F","false","",""
"","1661","html-keyboard-response","33","2.0.0","66709","pfq7dguu82a","dolphin","<b><font size=6>Humans are descended from tree-dwelling creatures.</font></b>","z","Evolution","Phylogeny","T","T","T","true","",""
"","976","html-keyboard-response","34","2.0.0","68188","pfq7dguu82a","dolphin","<b><font size=6>Evolution requires climate stability.</font></b>","z","Evolution","Variation","F","F","F","false","",""
"","670","html-keyboard-response","35","2.0.0","69359","pfq7dguu82a","dolphin","<b><font size=6>Most organisms have plenty to eat.</font></b>","z","Evolution","Selection","T","F","F","false","",""
"","1015","html-keyboard-response","36","2.0.0","70876","pfq7dguu82a","dolphin","<b><font size=6>Humans are descended from sea-dwelling creatures.</font></b>","m","Evolution","Phylogeny","F","T","T","false","",""
"","3079","html-keyboard-response","37","2.0.0","74456","pfq7dguu82a","dolphin","<b><font size=6>Apes are more closely related to monkeys than humans.</font></b>","z","Evolution","Common ancestry","T","F","F","false","",""
"","2293","html-keyboard-response","38","2.0.0","77251","pfq7dguu82a","dolphin","<b><font size=6>Evolution requires within-species variation.</font></b>","z","Evolution","Variation","F","T","T","true","",""
"","897","html-keyboard-response","39","2.0.0","78650","pfq7dguu82a","dolphin","<b><font size=6>Evolution requires long periods of time.</font></b>","z","Evolution","Variation","T","F","F","false","",""
"","1037","html-keyboard-response","40","2.0.0","80189","pfq7dguu82a","dolphin","<b><font size=6>Computer viruses evolve.</font></b>","z","Evolution","Adaptation","F","T","T","true","",""
"","1498","html-keyboard-response","41","2.0.0","82188","pfq7dguu82a","dolphin","<b><font size=6>Most organisms die before leaving offspring.</font></b>","m","Evolution","Selection","F","T","T","false","",""
"","3319","html-keyboard-response","42","2.0.0","86009","pfq7dguu82a","dolphin","<b><font size=6>Humans are more closely related to apes than monkeys.</font></b>","z","Evolution","Common ancestry","T","T","T","true","",""
"","1185","html-keyboard-response","43","2.0.0","87696","pfq7dguu82a","dolphin","<b><font size=6>Humans are descended from plants.</font></b>","z","Evolution","Phylogeny","F","F","F","false","",""
"","3291","html-keyboard-response","44","2.0.0","91489","pfq7dguu82a","dolphin","<b><font size=6>Whales are more closely related to plants than fish.</font></b>","m","Evolution","Common ancestry","F","F","F","true","",""
"","1247","html-keyboard-response","45","2.0.0","93238","pfq7dguu82a","dolphin","<b><font size=6>Inanimate objects evolve.</font></b>","m","Evolution","Adaptation","F","F","F","true","",""
"","1823","html-keyboard-response","46","2.0.0","95562","pfq7dguu82a","dolphin","<b><font size=6>Whales are more closely related to humans than fish.</font></b>","m","Evolution","Common ancestry","F","T","T","false","",""
"","null","html-keyboard-response","47","2.0.0","97767","pfq7dguu82a","dolphin","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","1627","html-keyboard-response","48","2.0.0","99896","pfq7dguu82a","dolphin","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","1083","html-keyboard-response","49","2.0.0","101481","pfq7dguu82a","dolphin","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","z","Genetics","Expression","T","F","F","false","",""
"","2483","html-keyboard-response","50","2.0.0","104466","pfq7dguu82a","dolphin","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","m","Genetics","Dominance","T","F","F","true","",""
"","1654","html-keyboard-response","51","2.0.0","106621","pfq7dguu82a","dolphin","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","z","Genetics","Expression","T","T","T","true","",""
"","1397","html-keyboard-response","52","2.0.0","108519","pfq7dguu82a","dolphin","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","1400","html-keyboard-response","53","2.0.0","110422","pfq7dguu82a","dolphin","<b><font size=6>Humans have more chromosomes than mosquitoes.</font></b>","z","Genetics","Chromosome","T","T","T","true","",""
"","1587","html-keyboard-response","54","2.0.0","112511","pfq7dguu82a","dolphin","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","m","Genetics","Heritability","T","F","F","true","",""
"","2358","html-keyboard-response","55","2.0.0","115370","pfq7dguu82a","dolphin","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","z","Genetics","Expression","F","T","T","true","",""
"","624","html-keyboard-response","56","2.0.0","116496","pfq7dguu82a","dolphin","<b><font size=6>Intelligence is heritable.</font></b>","z","Genetics","Heritability","F","T","T","true","",""
"","1377","html-keyboard-response","57","2.0.0","118375","pfq7dguu82a","dolphin","<b><font size=6>Two brown-eyed parents could have a blue-eyed baby.</font></b>","z","Genetics","Dominance","F","T","T","true","",""
"","1619","html-keyboard-response","58","2.0.0","120496","pfq7dguu82a","dolphin","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","m","Genetics","Expression","F","F","F","true","",""
"","2376","html-keyboard-response","59","2.0.0","123375","pfq7dguu82a","dolphin","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","m","Genetics","Chromosome","F","T","T","false","",""
"","1691","html-keyboard-response","60","2.0.0","125569","pfq7dguu82a","dolphin","<b><font size=6>Exercise can change one's genome.</font></b>","m","Genetics","Mutation","T","F","F","true","",""
"","3336","html-keyboard-response","61","2.0.0","129406","pfq7dguu82a","dolphin","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","1074","html-keyboard-response","62","2.0.0","130983","pfq7dguu82a","dolphin","<b><font size=6>Pierced ears are heritable.</font></b>","m","Genetics","Heritability","F","F","F","true","",""
"","2767","html-keyboard-response","63","2.0.0","134252","pfq7dguu82a","dolphin","<b><font size=6>Adults have more chromosomes than children.</font></b>","z","Genetics","Chromosome","T","F","F","false","",""
"","3809","html-keyboard-response","64","2.0.0","138563","pfq7dguu82a","dolphin","<b><font size=6>Sunscreen can change one's genome.</font></b>","m","Genetics","Mutation","F","F","F","true","",""
"","1132","html-keyboard-response","65","2.0.0","140196","pfq7dguu82a","dolphin","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","F","F","F","false","",""
"","1109","html-keyboard-response","66","2.0.0","141806","pfq7dguu82a","dolphin","<b><font size=6>Radiation can change one's genome.</font></b>","z","Genetics","Mutation","T","T","T","true","",""
"","943","html-keyboard-response","67","2.0.0","143251","pfq7dguu82a","dolphin","<b><font size=6>Viruses can change one's genome.</font></b>","m","Genetics","Mutation","F","T","T","false","",""
"","null","html-keyboard-response","68","2.0.0","145455","pfq7dguu82a","dolphin","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Mechanics</font></b>","null","","","","","","","",""
"","582","html-keyboard-response","69","2.0.0","146540","pfq7dguu82a","dolphin","<b><font size=6>Forces can be balanced or unbalanced.</font></b>","m","Mechanics","Force","F","T","T","false","",""
