"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1963","fullscreen","0","null","2969","prbsg14se1x","kangaroo","","","","","","","","","",""
"","963","html-keyboard-response","1","2.0.0","3936","prbsg14se1x","kangaroo","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","916","html-keyboard-response","2","2.0.0","5354","prbsg14se1x","kangaroo","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","2713","survey-text","3","2.0.0","8573","prbsg14se1x","kangaroo","","{""participant_id"":""kangaroo""}","","","","","","","",""
"","7077","html-keyboard-response","4","2.0.0","16154","prbsg14se1x","kangaroo","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","17857","prbsg14se1x","kangaroo","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","11805","html-keyboard-response","6","2.0.0","30166","prbsg14se1x","kangaroo","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","4970","html-keyboard-response","7","2.0.0","35638","prbsg14se1x","kangaroo","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","m","Genetics","Dominance","T","F","F","true","",""
"","3227","html-keyboard-response","8","2.0.0","39368","prbsg14se1x","kangaroo","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","10390","html-keyboard-response","9","2.0.0","50261","prbsg14se1x","kangaroo","<b><font size=6>Two brown-eyed parents could have a blue-eyed baby.</font></b>","z","Genetics","Dominance","F","T","T","true","",""
"","4730","html-keyboard-response","10","2.0.0","55493","prbsg14se1x","kangaroo","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","z","Genetics","Heritability","T","F","F","false","",""
"","5729","html-keyboard-response","11","2.0.0","61724","prbsg14se1x","kangaroo","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","F","F","F","false","",""
"","2313","html-keyboard-response","12","2.0.0","64540","prbsg14se1x","kangaroo","<b><font size=6>Intelligence is heritable.</font></b>","m","Genetics","Heritability","F","T","T","false","",""
"","4426","html-keyboard-response","13","2.0.0","69469","prbsg14se1x","kangaroo","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","m","Genetics","Expression","T","F","F","true","",""
"","4124","html-keyboard-response","14","2.0.0","74095","prbsg14se1x","kangaroo","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","z","Genetics","Expression","T","T","T","true","",""
"","4789","html-keyboard-response","15","2.0.0","79386","prbsg14se1x","kangaroo","<b><font size=6>Pierced ears are heritable.</font></b>","m","Genetics","Heritability","F","F","F","true","",""
"","4550","html-keyboard-response","16","2.0.0","84438","prbsg14se1x","kangaroo","<b><font size=6>Viruses can change one's genome.</font></b>","z","Genetics","Mutation","F","T","T","true","",""
"","5834","html-keyboard-response","17","2.0.0","90774","prbsg14se1x","kangaroo","<b><font size=6>Humans have more chromosomes than mosquitoes.</font></b>","z","Genetics","Chromosome","T","T","T","true","",""
"","6753","html-keyboard-response","18","2.0.0","98029","prbsg14se1x","kangaroo","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","m","Genetics","Expression","F","F","F","true","",""
"","6423","html-keyboard-response","19","2.0.0","104954","prbsg14se1x","kangaroo","<b><font size=6>Sunscreen can change one's genome.</font></b>","m","Genetics","Mutation","F","F","F","true","",""
"","1823","html-keyboard-response","20","2.0.0","107279","prbsg14se1x","kangaroo","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","4318","html-keyboard-response","21","2.0.0","112099","prbsg14se1x","kangaroo","<b><font size=6>Adults have more chromosomes than children.</font></b>","m","Genetics","Chromosome","T","F","F","true","",""
"","1752","html-keyboard-response","22","2.0.0","114353","prbsg14se1x","kangaroo","<b><font size=6>Exercise can change one's genome.</font></b>","m","Genetics","Mutation","T","F","F","true","",""
"","6938","html-keyboard-response","23","2.0.0","121793","prbsg14se1x","kangaroo","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","m","Genetics","Chromosome","F","T","T","false","",""
"","3450","html-keyboard-response","24","2.0.0","125745","prbsg14se1x","kangaroo","<b><font size=6>Radiation can change one's genome.</font></b>","z","Genetics","Mutation","T","T","T","true","",""
"","2674","html-keyboard-response","25","2.0.0","128921","prbsg14se1x","kangaroo","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","m","Genetics","Expression","F","T","T","false","",""
"","null","html-keyboard-response","26","2.0.0","131125","prbsg14se1x","kangaroo","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Germs</font></b>","null","","","","","","","",""
"","2599","html-keyboard-response","27","2.0.0","134227","prbsg14se1x","kangaroo","<b><font size=6>Germs enter the body through cuts.</font></b>","z","Germs","Infection","T","T","T","true","",""
"","1309","html-keyboard-response","28","2.0.0","136039","prbsg14se1x","kangaroo","<b><font size=6>Germs enter the body through the eyes.</font></b>","z","Germs","Infection","F","T","T","true","",""
"","1411","html-keyboard-response","29","2.0.0","137951","prbsg14se1x","kangaroo","<b><font size=6>Dish sponges contain germs.</font></b>","z","Germs","Contamination","F","T","T","true","",""
"","1565","html-keyboard-response","30","2.0.0","140019","prbsg14se1x","kangaroo","<b><font size=6>Germs have feelings.</font></b>","m","Germs","Microbe","F","F","F","true","",""
"","1117","html-keyboard-response","31","2.0.0","141639","prbsg14se1x","kangaroo","<b><font size=6>Water kills germs.</font></b>","z","Germs","Sterilization","T","F","F","false","",""
"","5064","html-keyboard-response","32","2.0.0","147205","prbsg14se1x","kangaroo","<b><font size=6>Germs have DNA.</font></b>","z","Germs","Microbe","F","T","T","true","",""
"","4610","html-keyboard-response","33","2.0.0","152316","prbsg14se1x","kangaroo","<b><font size=6>Germs enter the body through the hair.</font></b>","m","Germs","Infection","F","F","F","true","",""
"","2082","html-keyboard-response","34","2.0.0","154901","prbsg14se1x","kangaroo","<b><font size=6>Heat kills germs.</font></b>","z","Germs","Sterilization","F","T","T","true","",""
"","3441","html-keyboard-response","35","2.0.0","158844","prbsg14se1x","kangaroo","<b><font size=6>Germs enter the body through the skin.</font></b>","m","Germs","Infection","T","F","F","true","",""
"","2392","html-keyboard-response","36","2.0.0","161737","prbsg14se1x","kangaroo","<b><font size=6>Germs have a shape.</font></b>","z","Germs","Microbe","T","T","T","true","",""
"","11967","html-keyboard-response","37","2.0.0","174206","prbsg14se1x","kangaroo","<b><font size=6>Sunshine contains germs.</font></b>","m","Germs","Contamination","F","F","F","true","",""
"","1368","html-keyboard-response","38","2.0.0","176075","prbsg14se1x","kangaroo","<b><font size=6>Germs have an odor.</font></b>","m","Germs","Microbe","T","F","F","true","",""
"","3204","html-keyboard-response","39","2.0.0","179782","prbsg14se1x","kangaroo","<b><font size=6>Being cold can make a person sick.</font></b>","z","Germs","Contagion","T","F","F","false","",""
"","1174","html-keyboard-response","40","2.0.0","181457","prbsg14se1x","kangaroo","<b><font size=6>Being sneezed on can make a person sick.</font></b>","z","Germs","Contagion","T","T","T","true","",""
"","1032","html-keyboard-response","41","2.0.0","182991","prbsg14se1x","kangaroo","<b><font size=6>Urine contains germs.</font></b>","z","Germs","Contamination","T","F","F","false","",""
"","626","html-keyboard-response","42","2.0.0","184118","prbsg14se1x","kangaroo","<b><font size=6>Alcohol kills germs.</font></b>","z","Germs","Sterilization","T","T","T","true","",""
"","1406","html-keyboard-response","43","2.0.0","186026","prbsg14se1x","kangaroo","<b><font size=6>Rotting meat contains germs.</font></b>","z","Germs","Contamination","T","T","T","true","",""
"","2220","html-keyboard-response","44","2.0.0","188748","prbsg14se1x","kangaroo","<b><font size=6>Being happy can make a person sick.</font></b>","m","Germs","Contagion","F","F","F","true","",""
"","3015","html-keyboard-response","45","2.0.0","192265","prbsg14se1x","kangaroo","<b><font size=6>Being depressed can make a person sick.</font></b>","m","Germs","Contagion","F","T","T","false","",""
"","1875","html-keyboard-response","46","2.0.0","194641","prbsg14se1x","kangaroo","<b><font size=6>Kindness kills germs.</font></b>","m","Germs","Sterilization","F","F","F","true","",""
"","null","html-keyboard-response","47","2.0.0","196844","prbsg14se1x","kangaroo","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Astronomy</font></b>","null","","","","","","","",""
"","33172","html-keyboard-response","48","2.0.0","230520","prbsg14se1x","kangaroo","<b><font size=6>The earth's distance from the sun causes the seasons.</font></b>","z","Astronomy","Season","T","F","F","false","",""
"","1869","html-keyboard-response","49","2.0.0","232891","prbsg14se1x","kangaroo","<b><font size=6>The sun produces sound.</font></b>","z","Astronomy","Star","F","F","F","false","",""
"","1013","html-keyboard-response","50","2.0.0","234406","prbsg14se1x","kangaroo","<b><font size=6>The sun produces light.</font></b>","z","Astronomy","Star","T","T","T","true","",""
"","6478","html-keyboard-response","51","2.0.0","241386","prbsg14se1x","kangaroo","<b><font size=6>Phases of the moon are caused by the moon's orbit.</font></b>","z","Astronomy","Lunar phase","F","T","T","true","",""
"","6027","html-keyboard-response","52","2.0.0","247914","prbsg14se1x","kangaroo","<b><font size=6>Asteroids are more massive than planets.</font></b>","z","Astronomy","Planet","F","F","F","false","",""
"","4906","html-keyboard-response","53","2.0.0","253322","prbsg14se1x","kangaroo","<b><font size=6>Phases of the moon are caused by the earth's shadow.</font></b>","m","Astronomy","Lunar phase","T","F","F","true","",""
"","3994","html-keyboard-response","54","2.0.0","257818","prbsg14se1x","kangaroo","<b><font size=6>A change in overall sunlight causes the seasons.</font></b>","z","Astronomy","Season","T","T","T","true","",""
"","4312","html-keyboard-response","55","2.0.0","262632","prbsg14se1x","kangaroo","<b><font size=6>Planets are more massive than moons.</font></b>","z","Astronomy","Planet","T","T","T","true","",""
"","3195","html-keyboard-response","56","2.0.0","266329","prbsg14se1x","kangaroo","<b><font size=6>Phases of the moon are caused by clouds.</font></b>","m","Astronomy","Lunar phase","F","F","F","true","",""
"","4628","html-keyboard-response","57","2.0.0","271458","prbsg14se1x","kangaroo","<b><font size=6>Planets are more massive than stars.</font></b>","m","Astronomy","Planet","T","F","F","true","",""
"","17377","html-keyboard-response","58","2.0.0","289337","prbsg14se1x","kangaroo","<b><font size=6>The sun revolves around the moon.</font></b>","m","Astronomy","Solar system","F","F","F","true","",""
"","1323","html-keyboard-response","59","2.0.0","291162","prbsg14se1x","kangaroo","<b><font size=6>The sun revolves around the earth.</font></b>","z","Astronomy","Solar system","T","F","F","false","",""
