"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1527","fullscreen","0","null","2545","pav9bwxjx0o","axolotl","","","","","","","","","",""
"","1732","html-keyboard-response","1","2.0.0","4279","pav9bwxjx0o","axolotl","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","1468","html-keyboard-response","2","2.0.0","6252","pav9bwxjx0o","axolotl","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","6195","survey-text","3","2.0.0","12960","pav9bwxjx0o","axolotl","","{""participant_id"":""axolotl""}","","","","","","","",""
"","22189","html-keyboard-response","4","2.0.0","35656","pav9bwxjx0o","axolotl","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>","z","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","37364","pav9bwxjx0o","axolotl","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Genetics</font></b>","null","","","","","","","",""
"","5817","html-keyboard-response","6","2.0.0","43690","pav9bwxjx0o","axolotl","<b><font size=6>Genes that code for eye color can be found in the eye.</font></b>","m","Genetics","Expression","T","T","T","false","",""
"","2603","html-keyboard-response","7","2.0.0","46797","pav9bwxjx0o","axolotl","<b><font size=6>Intelligence is heritable.</font></b>","m","Genetics","Heritability","F","T","T","false","",""
"","1736","html-keyboard-response","8","2.0.0","49041","pav9bwxjx0o","axolotl","<b><font size=6>Pierced ears are heritable.</font></b>","m","Genetics","Heritability","F","F","F","true","",""
"","3517","html-keyboard-response","9","2.0.0","53066","pav9bwxjx0o","axolotl","<b><font size=6>Genes that code for eye color can be found in the liver.</font></b>","m","Genetics","Expression","F","T","T","false","",""
"","2782","html-keyboard-response","10","2.0.0","56355","pav9bwxjx0o","axolotl","<b><font size=6>Two blue-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","F","F","F","false","",""
"","1794","html-keyboard-response","11","2.0.0","58656","pav9bwxjx0o","axolotl","<b><font size=6>Hair color is heritable.</font></b>","z","Genetics","Heritability","T","T","T","true","",""
"","13244","html-keyboard-response","12","2.0.0","72403","pav9bwxjx0o","axolotl","<b><font size=6>Genes that code for eye color can be found in hair.</font></b>","m","Genetics","Expression","F","F","F","true","",""
"","1568","html-keyboard-response","13","2.0.0","74478","pav9bwxjx0o","axolotl","<b><font size=6>A blue-eyed baby must have two blue-eyed parents.</font></b>","m","Genetics","Dominance","T","F","F","true","",""
"","2310","html-keyboard-response","14","2.0.0","77292","pav9bwxjx0o","axolotl","<b><font size=6>Radiation can change one's genome.</font></b>","m","Genetics","Mutation","T","T","T","false","",""
"","3677","html-keyboard-response","15","2.0.0","81476","pav9bwxjx0o","axolotl","<b><font size=6>Immunity to chickenpox is heritable.</font></b>","z","Genetics","Heritability","T","F","F","false","",""
"","1795","html-keyboard-response","16","2.0.0","83776","pav9bwxjx0o","axolotl","<b><font size=6>Adults have more chromosomes than children.</font></b>","m","Genetics","Chromosome","T","F","F","true","",""
"","1340","html-keyboard-response","17","2.0.0","85621","pav9bwxjx0o","axolotl","<b><font size=6>Exercise can change one's genome.</font></b>","m","Genetics","Mutation","T","F","F","true","",""
"","2372","html-keyboard-response","18","2.0.0","88501","pav9bwxjx0o","axolotl","<b><font size=6>Humans have more chromosomes than mosquitoes.</font></b>","z","Genetics","Chromosome","T","T","T","true","",""
"","1586","html-keyboard-response","19","2.0.0","90595","pav9bwxjx0o","axolotl","<b><font size=6>Sunscreen can change one's genome.</font></b>","m","Genetics","Mutation","F","F","F","true","",""
"","1042","html-keyboard-response","20","2.0.0","92139","pav9bwxjx0o","axolotl","<b><font size=6>Genes that code for eye color can be found in tears.</font></b>","m","Genetics","Expression","T","F","F","true","",""
"","2408","html-keyboard-response","21","2.0.0","95052","pav9bwxjx0o","axolotl","<b><font size=6>Two brown-eyed parents could have a brown-eyed baby.</font></b>","z","Genetics","Dominance","T","T","T","true","",""
"","3626","html-keyboard-response","22","2.0.0","99181","pav9bwxjx0o","axolotl","<b><font size=6>Viruses can change one's genome.</font></b>","m","Genetics","Mutation","F","T","T","false","",""
"","1365","html-keyboard-response","23","2.0.0","101047","pav9bwxjx0o","axolotl","<b><font size=6>Two brown-eyed parents could have a blue-eyed baby.</font></b>","z","Genetics","Dominance","F","T","T","true","",""
"","5304","html-keyboard-response","24","2.0.0","106860","pav9bwxjx0o","axolotl","<b><font size=6>Skin cells have more chromosomes than egg cells.</font></b>","m","Genetics","Chromosome","F","T","T","false","",""
"","4516","html-keyboard-response","25","2.0.0","111881","pav9bwxjx0o","axolotl","<b><font size=6>Men have more chromosomes than women.</font></b>","m","Genetics","Chromosome","F","F","F","true","",""
"","null","html-keyboard-response","26","2.0.0","114095","pav9bwxjx0o","axolotl","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Waves</font></b>","null","","","","","","","",""
"","3732","html-keyboard-response","27","2.0.0","118334","pav9bwxjx0o","axolotl","<b><font size=6>Mirrors reflect sound.</font></b>","z","Waves","Reflection","F","T","T","true","",""
"","3721","html-keyboard-response","28","2.0.0","122557","pav9bwxjx0o","axolotl","<b><font size=6>Sound travels through foam.</font></b>","z","Waves","Propagation","F","F","F","false","",""
"","815","html-keyboard-response","29","2.0.0","123883","pav9bwxjx0o","axolotl","<b><font size=6>Sounds can be loud or quiet.</font></b>","z","Waves","Sound","T","T","T","true","",""
"","1770","html-keyboard-response","30","2.0.0","126157","pav9bwxjx0o","axolotl","<b><font size=6>Foam reflects sound.</font></b>","z","Waves","Reflection","F","F","F","false","",""
"","1184","html-keyboard-response","31","2.0.0","127850","pav9bwxjx0o","axolotl","<b><font size=6>Sounds can be direct or reflected.</font></b>","z","Waves","Sound","F","T","T","true","",""
"","1546","html-keyboard-response","32","2.0.0","129903","pav9bwxjx0o","axolotl","<b><font size=6>Mirrors reflect light.</font></b>","z","Waves","Reflection","T","T","T","true","",""
"","874","html-keyboard-response","33","2.0.0","131280","pav9bwxjx0o","axolotl","<b><font size=6>Sound travels through air.</font></b>","z","Waves","Propagation","T","T","T","true","",""
"","3365","html-keyboard-response","34","2.0.0","135162","pav9bwxjx0o","axolotl","<b><font size=6>Red objects absorb red light.</font></b>","m","Waves","Color","T","F","F","true","",""
"","3813","html-keyboard-response","35","2.0.0","139479","pav9bwxjx0o","axolotl","<b><font size=6>Rainbows contain all colors of light.</font></b>","z","Waves","Light","T","T","T","true","",""
"","2967","html-keyboard-response","36","2.0.0","142956","pav9bwxjx0o","axolotl","<b><font size=6>Sounds can be dead or alive.</font></b>","z","Waves","Sound","F","F","F","false","",""
"","2254","html-keyboard-response","37","2.0.0","145716","pav9bwxjx0o","axolotl","<b><font size=6>White light contains all colors of light.</font></b>","z","Waves","Light","F","T","T","true","",""
"","1229","html-keyboard-response","38","2.0.0","147452","pav9bwxjx0o","axolotl","<b><font size=6>Sound travels through a vacuum.</font></b>","m","Waves","Propagation","T","F","F","true","",""
