"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","Category","Concept","T1","T2","CorrectAnswer","correct","reflection1","reflection2"
"true","1626","fullscreen","0","null","2651","pt7kex0zrde","gorilla","","","","","","","","","",""
"","2189","html-keyboard-response","1","2.0.0","4846","pt7kex0zrde","gorilla","This trial will be in fullscreen mode. Press any key to begin."," ","","","","","","","",""
"","851","html-keyboard-response","2","2.0.0","6205","pt7kex0zrde","gorilla","Welcome to the experiment. Press any key to begin."," ","","","","","","","",""
"","4363","survey-text","3","2.0.0","11081","pt7kex0zrde","gorilla","","{""participant_id"":""gorilla""}","","","","","","","",""
"","5707","html-keyboard-response","4","2.0.0","17292","pt7kex0zrde","gorilla","<p>Welcome to the experiment!</p><p>In this task, you will see a series of scientific statements.</p><p>Your job is to decide whether each statement is true or false.</p><p>Press 'z' if you think the statement is true and 'm' if you think it is false.</p><p>Press any key to begin.</p>"," ","","","","","","","",""
"","null","html-keyboard-response","5","2.0.0","19003","pt7kex0zrde","gorilla","<p><font-size=6>All the following statements are in category:</font></p><b><font size=10><font color=blue>Evolution</font></b>","null","","","","","","","",""
"","5767","html-keyboard-response","6","2.0.0","25281","pt7kex0zrde","gorilla","<b><font size=6>Evolution requires long periods of time.</font></b>","z","Evolution","Variation","T","F","F","false","",""
"","18772","html-keyboard-response","7","2.0.0","44563","pt7kex0zrde","gorilla","<b><font size=6>Evolution requires within-species variation.</font></b>","z","Evolution","Variation","F","T","T","true","",""
"","5068","html-keyboard-response","8","2.0.0","50139","pt7kex0zrde","gorilla","<b><font size=6>Evolution requires differential survival.</font></b>","z","Evolution","Variation","T","T","T","true","",""
"","3051","html-keyboard-response","9","2.0.0","53698","pt7kex0zrde","gorilla","<b><font size=6>Humans are descended from plants.</font></b>","m","Evolution","Phylogeny","F","F","F","true","",""
"","8673","html-keyboard-response","10","2.0.0","62891","pt7kex0zrde","gorilla","<b><font size=6>Apes are more closely related to monkeys than humans.</font></b>","m","Evolution","Common ancestry","T","F","F","true","",""
"","6276","html-keyboard-response","11","2.0.0","69677","pt7kex0zrde","gorilla","<b><font size=6>Most organisms live in temperate climates.</font></b>","m","Evolution","Selection","F","F","F","true","",""
"","2755","html-keyboard-response","12","2.0.0","72935","pt7kex0zrde","gorilla","<b><font size=6>Most organisms have plenty to eat.</font></b>","m","Evolution","Selection","T","F","F","true","",""
"","3506","html-keyboard-response","13","2.0.0","76959","pt7kex0zrde","gorilla","<b><font size=6>Whales are more closely related to plants than fish.</font></b>","m","Evolution","Common ancestry","F","F","F","true","",""
"","3379","html-keyboard-response","14","2.0.0","80849","pt7kex0zrde","gorilla","<b><font size=6>Humans are descended from tree-dwelling creatures.</font></b>","z","Evolution","Phylogeny","T","T","T","true","",""
"","3905","html-keyboard-response","15","2.0.0","85264","pt7kex0zrde","gorilla","<b><font size=6>Computer viruses evolve.</font></b>","z","Evolution","Adaptation","F","T","T","true","",""
"","1225","html-keyboard-response","16","2.0.0","87000","pt7kex0zrde","gorilla","<b><font size=6>Individual organisms evolve.</font></b>","z","Evolution","Adaptation","T","F","F","false","",""
"","888","html-keyboard-response","17","2.0.0","88391","pt7kex0zrde","gorilla","<b><font size=6>Biological species evolve.</font></b>","z","Evolution","Adaptation","T","T","T","true","",""
"","2792","html-keyboard-response","18","2.0.0","91694","pt7kex0zrde","gorilla","<b><font size=6>Most organisms die before leaving offspring.</font></b>","m","Evolution","Selection","F","T","T","false","",""
"","3901","html-keyboard-response","19","2.0.0","96108","pt7kex0zrde","gorilla","<b><font size=6>Whales are more closely related to humans than fish.</font></b>","z","Evolution","Common ancestry","F","T","T","true","",""
"","4014","html-keyboard-response","20","2.0.0","100630","pt7kex0zrde","gorilla","<b><font size=6>Evolution requires climate stability.</font></b>","m","Evolution","Variation","F","F","F","true","",""
"","2070","html-keyboard-response","21","2.0.0","103211","pt7kex0zrde","gorilla","<b><font size=6>Humans are descended from sea-dwelling creatures.</font></b>","z","Evolution","Phylogeny","F","T","T","true","",""
"","2898","html-keyboard-response","22","2.0.0","106624","pt7kex0zrde","gorilla","<b><font size=6>Inanimate objects evolve.</font></b>","m","Evolution","Adaptation","F","F","F","true","",""
"","3598","html-keyboard-response","23","2.0.0","110730","pt7kex0zrde","gorilla","<b><font size=6>Most organisms are adapted to their environment.</font></b>","z","Evolution","Selection","T","T","T","true","",""
"","1436","html-keyboard-response","24","2.0.0","112677","pt7kex0zrde","gorilla","<b><font size=6>Humans are descended from chimpanzees.</font></b>","m","Evolution","Phylogeny","T","F","F","true","",""
"","3095","html-keyboard-response","25","2.0.0","116275","pt7kex0zrde","gorilla","<b><font size=6>Humans are more closely related to apes than monkeys.</font></b>","z","Evolution","Common ancestry","T","T","T","true","",""
