rt,trial_type,trial_index,trial_number,plugin_version,time_elapsed,random_id,participant_id,stimulus,response,Category,Concept,T1,T2,CorrectAnswer,correct,is_right,reflection_1,reflection_2
5078,html-keyboard-response,6,1,2.0.0,25058,p03mqyeeyqu,seal,<b><font size=6>Mirrors reflect sound.</font></b>,z,Waves,Reflection,FALSE,TRUE,TRUE,TRUE,1,NA,no
4744,html-keyboard-response,7,2,2.0.0,30303,p03mqyeeyqu,seal,<b><font size=6>Sounds can be dead or alive.</font></b>,z,Waves,Sound,FALSE,FALSE,FALSE,FALSE,0,NA,no
1860,html-keyboard-response,8,3,2.0.0,32664,p03mqyeeyqu,seal,<b><font size=6>Sounds can be near or far.</font></b>,z,Waves,Sound,TRUE,FALSE,FALSE,FALSE,0,NA,no
1534,html-keyboard-response,9,4,2.0.0,34700,p03mqyeeyqu,seal,<b><font size=6>Sound travels through metal.</font></b>,z,Waves,Propagation,FALSE,TRUE,TRUE,TRUE,1,NA,no
3237,html-keyboard-response,10,5,2.0.0,38439,p03mqyeeyqu,seal,<b><font size=6>Shadows contain all colors of light.</font></b>,z,Waves,Light,FALSE,FALSE,FALSE,FALSE,0,NA,no
2881,html-keyboard-response,11,6,2.0.0,41822,p03mqyeeyqu,seal,<b><font size=6>Red objects absorb red light.</font></b>,z,Waves,Color,TRUE,FALSE,FALSE,FALSE,0,NA,no
2898,html-keyboard-response,12,7,2.0.0,45222,p03mqyeeyqu,seal,<b><font size=6>Sounds can be direct or reflected.</font></b>,z,Waves,Sound,FALSE,TRUE,TRUE,TRUE,1,NA,no
1355,html-keyboard-response,13,8,2.0.0,47078,p03mqyeeyqu,seal,<b><font size=6>Sounds can be loud or quiet.</font></b>,z,Waves,Sound,TRUE,TRUE,TRUE,TRUE,1,NA,no
2083,html-keyboard-response,14,9,2.0.0,49662,p03mqyeeyqu,seal,<b><font size=6>Red objects reflect red light.</font></b>,z,Waves,Color,TRUE,TRUE,TRUE,TRUE,1,NA,no
2668,html-keyboard-response,15,10,2.0.0,52832,p03mqyeeyqu,seal,<b><font size=6>Sound travels through a vacuum.</font></b>,m,Waves,Propagation,TRUE,FALSE,FALSE,TRUE,1,NA,no
1116,html-keyboard-response,16,11,2.0.0,54450,p03mqyeeyqu,seal,<b><font size=6>Sound travels through air.</font></b>,z,Waves,Propagation,TRUE,TRUE,TRUE,TRUE,1,NA,no
3025,html-keyboard-response,17,12,2.0.0,57976,p03mqyeeyqu,seal,<b><font size=6>Foam reflects sound.</font></b>,z,Waves,Reflection,FALSE,FALSE,FALSE,FALSE,0,NA,no
2599,html-keyboard-response,18,13,2.0.0,61077,p03mqyeeyqu,seal,<b><font size=6>White light contains all colors of light.</font></b>,z,Waves,Light,FALSE,TRUE,TRUE,TRUE,1,NA,no
5096,html-keyboard-response,19,14,2.0.0,66675,p03mqyeeyqu,seal,<b><font size=6>Red objects absorb blue light.</font></b>,m,Waves,Color,FALSE,TRUE,TRUE,FALSE,0,NA,no
1666,html-keyboard-response,20,15,2.0.0,68843,p03mqyeeyqu,seal,<b><font size=6>Red objects reflect blue light.</font></b>,m,Waves,Color,FALSE,FALSE,FALSE,TRUE,1,NA,no
1073,html-keyboard-response,21,16,2.0.0,70416,p03mqyeeyqu,seal,<b><font size=6>Mirrors reflect light.</font></b>,z,Waves,Reflection,TRUE,TRUE,TRUE,TRUE,1,NA,no
1290,html-keyboard-response,22,17,2.0.0,72208,p03mqyeeyqu,seal,<b><font size=6>Black objects reflect all colors of light.</font></b>,z,Waves,Light,TRUE,FALSE,FALSE,FALSE,0,NA,no
1524,html-keyboard-response,23,18,2.0.0,74234,p03mqyeeyqu,seal,<b><font size=6>Sound travels through foam.</font></b>,z,Waves,Propagation,FALSE,FALSE,FALSE,FALSE,0,NA,no
1478,html-keyboard-response,24,19,2.0.0,76213,p03mqyeeyqu,seal,<b><font size=6>Prisms reflect light.</font></b>,z,Waves,Reflection,TRUE,FALSE,FALSE,FALSE,0,NA,no
